signal_day,eval_day,ticker,ratio,verdict,candle_pos,gap_%,entry,outcome,gross_%,net_%,bucket,intraday_signal
2026-05-26,2026-05-27,FUTG,75.5,매수관심,잔구간,12.7,4.9698,open,-5.43,-7.93,07:30,매수관심
2026-05-26,2026-05-27,FUTG,75.5,매수관심,잔구간,12.7,4.9,open,-4.08,-6.58,08:00,중립
2026-05-26,2026-05-27,FUTG,75.5,매수관심,잔구간,12.7,4.92,open,-4.47,-6.97,08:30,매수관심
2026-05-26,2026-05-27,FUTG,75.5,매수관심,잔구간,12.7,4.84,open,-2.89,-5.39,09:00,매도주의
2026-05-26,2026-05-27,ARTL,53.2,매도주의,잔구간,-26.3,1.26,open,7.14,4.64,05:30,정보부족
2026-05-26,2026-05-27,ARTL,53.2,매도주의,잔구간,-26.3,1.29,open,4.65,2.15,06:00,강한매수
2026-05-26,2026-05-27,ARTL,53.2,매도주의,잔구간,-26.3,1.2897,open,4.68,2.18,06:30,중립
2026-05-26,2026-05-27,ARTL,53.2,매도주의,잔구간,-26.3,1.1974,open,12.74,10.24,07:00,강한매도
2026-05-26,2026-05-27,ARTL,53.2,매도주의,잔구간,-26.3,1.21,open,11.57,9.07,07:30,중립
2026-05-26,2026-05-27,ARTL,53.2,매도주의,잔구간,-26.3,1.22,open,10.66,8.16,08:00,중립
2026-05-26,2026-05-27,ARTL,53.2,매도주의,잔구간,-26.3,1.2584,open,7.28,4.78,08:30,강한매수
2026-05-26,2026-05-27,ARTL,53.2,매도주의,잔구간,-26.3,1.25,open,8.0,5.5,09:00,중립
2026-05-26,2026-05-27,CPSH,51.5,강한매수,전고점돌파,19.1,13.24,open,-1.81,-4.31,05:30,정보부족
2026-05-26,2026-05-27,CPSH,51.5,강한매수,전고점돌파,19.1,12.85,open,1.17,-1.33,06:00,중립
2026-05-26,2026-05-27,CPSH,51.5,강한매수,전고점돌파,19.1,13.01,open,-0.08,-2.58,06:30,매수관심
2026-05-26,2026-05-27,CPSH,51.5,강한매수,전고점돌파,19.1,13.23,open,-1.74,-4.24,07:00,매수관심
2026-05-26,2026-05-27,CPSH,51.5,강한매수,전고점돌파,19.1,13.01,open,-0.08,-2.58,07:30,매도주의
2026-05-26,2026-05-27,CPSH,51.5,강한매수,전고점돌파,19.1,13.1803,open,-1.37,-3.87,08:00,강한매수
