ticker,ratio,latest_close,latest_volume,baseline_volume,dollar_volume_M,intraday_chg_%,latest_date
COTY,8.2,1.95,73242328,8972278,142.82,2.1,2026-06-18
SLDB,7.9,8.33,14768079,1864454,123.02,9.9,2026-06-18
XNET,7.9,4.96,3719173,473067,18.45,0.4,2026-06-18
HMH,7.9,18.66,1671467,211983,31.19,1.8,2026-06-18
FNRN,7.7,18.4,1400875,183119,25.78,0.6,2026-06-18
SHPH,7.7,3.46,606790,78664,2.1,-10.8,2026-06-18
BCHT,7.5,2.34,992145,132755,2.32,7.8,2026-06-18
GOGO,7.5,3.41,14463023,1926566,49.32,-3.7,2026-06-18
SPH,7.5,16.55,2687520,357570,44.48,-2.8,2026-06-18
BLNK,7.5,0.65,15417203,2050819,10.02,-1.2,2026-06-18
QSU,7.3,15.35,707955,97320,10.87,9.1,2026-06-18
NHP,7.2,14.37,4758258,663417,68.38,3.2,2026-06-18
WHLR,7.1,3.47,993040,139016,3.45,-2.3,2026-06-18
BBOT,7.0,7.56,2293216,326378,17.34,-2.1,2026-06-18
CATX,7.0,2.95,7664662,1097151,22.61,-2.3,2026-06-18
LU,7.0,1.25,7663189,1088100,9.58,-8.1,2026-06-18
HAIN,7.0,0.606,4637487,659828,2.81,2.1,2026-06-18
OVID,6.9,2.27,15348112,2212767,34.84,-6.2,2026-06-18
SPRO,6.9,2.28,7195319,1047234,16.41,-9.2,2026-06-18
IMMX,6.7,8.72,7434821,1107787,64.83,-12.1,2026-06-18
NIVF,6.7,0.758,7112310,1067171,5.39,-7.0,2026-06-18
NNDM,6.6,1.35,29310130,4456684,39.57,0.0,2026-06-18
GEL,6.5,14.47,3043320,471797,44.04,2.9,2026-06-18
VIR,6.3,9.16,8795300,1387772,80.56,-2.9,2026-06-18
CTGO,6.3,16.98,3880884,619832,65.9,0.3,2026-06-18
QS,6.2,8.04,85585773,13875356,688.11,3.7,2026-06-18
DEC,6.2,13.0,4694377,754061,61.03,1.7,2026-06-18
LUCD,6.2,1.08,6013153,967791,6.49,8.0,2026-06-18
RTB,6.1,10.25,510807,83314,5.24,15.2,2026-06-18
MASS,6.1,8.85,1063676,173993,9.41,1.0,2026-06-18
LILAK,6.0,4.79,4869125,818046,23.32,-9.3,2026-06-18
SLP,6.0,18.24,1045413,175446,19.07,0.1,2026-06-18
GMRS,5.8,13.25,4053947,704226,53.71,7.6,2026-06-18
FVRR,5.8,10.38,3418767,588758,35.49,3.2,2026-06-18
SWBI,5.8,16.08,4654328,806875,74.84,1.8,2026-06-18
BRRR,5.8,17.73,1052131,180679,18.65,-2.1,2026-06-18
EMBC,5.8,3.11,11422082,1965245,35.52,0.3,2026-06-18
CDE,5.7,17.51,182076193,32059740,3188.15,-1.2,2026-06-18
EP,5.6,2.98,357960,63388,1.07,8.0,2026-06-18
AVTX,5.6,14.7,6417380,1143075,94.34,-6.1,2026-06-18
BTCS,5.6,1.1,6626356,1174624,7.29,-6.8,2026-06-18
NERV,5.6,4.47,574967,102054,2.57,6.7,2026-06-18
CLWT,5.6,1.91,1781187,315632,3.4,23.2,2026-06-18
NPT,5.5,2.73,796244,145593,2.17,1.9,2026-06-18
UUUG,5.5,6.89,1867394,337127,12.87,-12.3,2026-06-18
CLPT,5.5,17.77,2080728,379351,36.97,0.4,2026-06-18
SABS,5.4,4.0,2908294,534526,11.63,1.8,2026-06-18
CABA,5.4,2.84,17204399,3184440,48.86,-1.7,2026-06-18
ALLT,5.3,7.18,1570539,297195,11.28,0.1,2026-06-18
OPTH,5.2,5.025,651280,124892,3.27,9.2,2026-06-18
REKR,5.2,0.706,9465317,1803735,6.69,0.6,2026-06-18
CADL,5.1,8.31,8197173,1614331,68.12,0.7,2026-06-18
ALXO,5.0,1.53,5048971,1001270,7.72,6.3,2026-06-18
FTHM,5.0,1.07,4656053,927402,4.98,-5.3,2026-06-18
QTEX,5.0,2.01,45631670,9096436,91.72,-13.0,2026-06-18
SSYS,5.0,8.92,5026260,1013150,44.83,0.6,2026-06-18
RTAC,5.0,10.4,395365,79668,4.11,0.1,2026-06-18
IVA,4.8,3.57,3549808,738426,12.67,-0.8,2026-06-18
INFY,4.8,10.57,63561773,13163814,671.85,-2.3,2026-06-18
SOWG,4.8,3.87,869190,182920,3.36,22.9,2026-06-18
RLAY,4.8,15.88,10738974,2215781,170.53,-0.7,2026-06-18
SGMT,4.8,6.68,3592541,741267,24.0,2.0,2026-06-18
LPRO,4.7,3.11,7948032,1674061,24.72,-0.3,2026-06-18
CCRN,4.7,13.17,1448443,307817,19.08,-0.2,2026-06-18
MAAS,4.7,18.9,453235,97221,8.57,1.3,2026-06-18
NTSK,4.7,9.05,32889373,6965804,297.65,3.0,2026-06-18
COTG,4.7,13.218,376192,80400,4.97,-1.6,2026-06-18
RCKT,4.6,3.35,11287223,2432906,37.81,2.1,2026-06-18
VITL,4.6,10.41,8832235,1925575,91.94,-4.0,2026-06-18
MNRO,4.6,15.55,5887568,1293663,91.55,0.5,2026-06-18
ODTX,4.6,19.07,1602912,350132,30.57,1.6,2026-06-18
IHRT,4.6,3.59,3233616,699002,11.61,-5.3,2026-06-18
ENHA,4.6,4.43,5295889,1143213,23.46,11.9,2026-06-18
RUM,4.6,7.36,11537415,2532277,84.92,-13.0,2026-06-18
AIIO,4.6,2.98,6504933,1403230,19.38,16.0,2026-06-18
TBI,4.5,6.7,1183236,261084,7.93,-1.6,2026-06-18
FINV,4.5,4.67,2116416,467840,9.88,-2.7,2026-06-18
ARI,4.5,10.83,5047025,1124500,54.66,0.9,2026-06-18
LILA,4.5,4.8,2057899,461401,9.88,-9.4,2026-06-18
MOMO,4.4,5.44,3347239,758300,18.21,-2.7,2026-06-18
EAF,4.4,7.71,851641,194433,6.57,-1.7,2026-06-18
MGTX,4.4,11.32,2519936,567293,28.53,5.5,2026-06-18
EMPD,4.4,3.83,588339,132741,2.25,2.7,2026-06-18
OCGN,4.3,1.24,26269780,6042623,32.57,-1.2,2026-06-18
SSP,4.3,2.75,3069494,708724,8.44,4.2,2026-06-18
CCIF,4.3,2.82,395027,92776,1.11,-2.1,2026-06-18
GENB,4.2,14.49,2604818,625624,37.74,2.6,2026-06-18
SPIR,4.2,18.97,5465800,1304751,103.69,2.4,2026-06-18
UUUU,4.2,16.56,28608976,6836258,473.76,-7.6,2026-06-18
YMAT,4.2,0.62,2394421,565463,1.48,-0.4,2026-06-18
ANGI,4.2,5.02,2783258,660788,13.97,-1.6,2026-06-18
MNKD,4.2,3.94,16622952,3957815,65.49,-1.5,2026-06-18
BGDE,4.2,10.67,536696,128589,5.73,-4.8,2026-06-18
MEI,4.1,14.02,1617324,391538,22.67,17.6,2026-06-18
TSMY,4.1,17.64,488655,120013,8.62,4.2,2026-06-18
JBIO,4.1,16.82,4785524,1171171,80.49,-3.2,2026-06-18
URG,4.1,1.5,47106762,11492703,70.66,-6.3,2026-06-18
NVCR,4.1,14.28,4850209,1173137,69.26,-5.0,2026-06-18
NFE,4.1,0.433,11278724,2765404,4.88,-17.1,2026-06-18
SND,4.0,4.79,821509,207451,3.94,-4.4,2026-06-18
PNNT,4.0,3.43,2835695,716558,9.73,-4.5,2026-06-18
MRVI,4.0,5.2,9280186,2312595,48.26,-2.1,2026-06-18
ACHV,4.0,4.85,6945503,1725368,33.69,-10.0,2026-06-18
NWBI,4.0,14.48,3742461,941610,54.19,0.9,2026-06-18
KRRO,4.0,12.99,736222,182471,9.56,14.1,2026-06-18
BEZ,4.0,11.41,791490,197156,9.03,-23.2,2026-06-18
PLX,3.9,2.22,1832869,469660,4.07,8.8,2026-06-18
TGE,3.9,1.24,2153015,553397,2.67,19.2,2026-06-18
CDXS,3.9,2.57,1748287,451335,4.49,0.4,2026-06-18
EGY,3.9,5.58,4332955,1122324,24.18,2.4,2026-06-18
GFR,3.9,5.49,462596,119312,2.54,-0.7,2026-06-18
ANGO,3.8,12.15,1195401,314111,14.52,0.9,2026-06-18
ZBIO,3.8,19.78,2128326,557331,42.1,4.5,2026-06-18
ACRS,3.8,4.5,4322755,1151144,19.45,-1.3,2026-06-18
PSKY,3.8,9.94,28105424,7425789,279.37,-0.4,2026-06-18
QTRX,3.8,3.39,3071346,817689,10.41,14.1,2026-06-18
UROY,3.8,2.95,9361609,2487747,27.62,-3.6,2026-06-18
ALLO,3.8,2.0,23548239,6232294,47.1,-1.0,2026-06-18
CNDT,3.8,1.4,4016227,1043652,5.62,-2.8,2026-06-18
FMNB,3.8,14.14,1402133,371822,19.83,-0.4,2026-06-18
NTHI,3.8,5.27,373767,97826,1.97,8.0,2026-06-18
MTUS,3.8,19.31,1146864,301010,22.15,-1.6,2026-06-18
ANIX,3.8,2.91,600837,159087,1.75,5.4,2026-06-18
LIDR,3.8,1.45,4400236,1171219,6.38,-8.8,2026-06-18
MED,3.8,11.04,504037,133312,5.56,-2.0,2026-06-18
RNW,3.8,6.32,4866907,1293797,30.76,2.1,2026-06-18
GPUS,3.8,0.359,727768736,190501148,261.27,-29.9,2026-06-18
CHGG,3.7,1.05,2866814,774940,3.01,-0.9,2026-06-18
CION,3.7,6.55,1946815,527381,12.75,-3.8,2026-06-18
NVCT,3.7,13.82,323636,87370,4.47,7.2,2026-06-18
BRBR,3.7,9.46,18198584,4866065,172.16,2.5,2026-06-18
CTMX,3.7,2.95,9732497,2596642,28.71,-2.3,2026-06-18
FNUC,3.7,2.05,1240931,335164,2.54,4.1,2026-06-18
ZSQR,3.7,16.73,1111471,301712,18.59,8.8,2026-06-18
INDI,3.7,4.25,14485530,3909045,61.56,4.9,2026-06-18
TRAX,3.7,17.42,1915185,515979,33.36,-6.8,2026-06-18
BTQ,3.6,5.675,15798986,4336440,89.66,-10.8,2026-06-18
QUAD,3.6,7.62,502259,138677,3.83,1.2,2026-06-18
AKBA,3.6,1.07,22933787,6373067,24.54,1.9,2026-06-18
ABTC,3.6,0.85,37288197,10418708,31.71,0.0,2026-06-18
ALT,3.6,2.7,11688234,3233865,31.56,0.7,2026-06-18
NEOG,3.6,9.31,5065588,1411644,47.16,1.5,2026-06-18
KRMD,3.6,3.9,396032,109787,1.54,-1.0,2026-06-18
CIM,3.6,13.28,2073054,572439,27.53,-0.7,2026-06-18
TKNO,3.6,5.24,542613,150978,2.84,5.0,2026-06-18
SITC,3.6,4.77,1804977,505515,8.61,1.1,2026-06-18
SVRA,3.6,5.5,4761569,1340394,26.19,-0.2,2026-06-18
NRC,3.5,18.54,357182,101260,6.62,3.1,2026-06-18
MOBI,3.5,14.25,804449,230587,11.46,-0.2,2026-06-18
INVZ,3.5,0.582,8328350,2361569,4.85,-4.5,2026-06-18
SOPH,3.5,5.46,445059,126672,2.43,2.1,2026-06-18
KTUP,3.5,7.8,571062,163845,4.45,-8.0,2026-06-18
SHEN,3.5,14.18,1019486,292327,14.46,-2.8,2026-06-18
DYN,3.5,19.8,5111971,1455780,101.22,-1.0,2026-06-18
WSR,3.5,18.95,828543,239548,15.7,-0.1,2026-06-18
ZEPP,3.5,4.83,488927,137758,2.36,-12.2,2026-06-18
FWRD,3.4,13.62,5500029,1598947,74.91,-2.2,2026-06-18
KULR,3.4,3.96,5465561,1630264,21.64,7.9,2026-06-18
GNW,3.4,8.95,8070835,2381565,72.23,-0.2,2026-06-18
PRLD,3.4,4.32,1076626,316574,4.65,-1.4,2026-06-18
GLND,3.4,3.07,3240525,951786,9.95,9.3,2026-06-18
DSX,3.4,2.1,1734962,516621,3.64,-2.8,2026-06-18
ABUS,3.4,4.55,5045877,1500114,22.96,1.3,2026-06-18
MG,3.4,18.46,450853,132046,8.32,-0.5,2026-06-18
MXCT,3.4,1.21,1773628,527346,2.15,6.1,2026-06-18
PRQR,3.4,1.89,1378074,406169,2.6,13.2,2026-06-18
SVAC,3.4,10.28,635585,189575,6.53,-0.1,2026-06-18
TLS,3.4,4.52,2200016,644344,9.94,2.0,2026-06-18
OSTX,3.4,1.93,1145109,333690,2.21,9.7,2026-06-18
AGNT,3.3,4.69,3518218,1076111,16.5,-1.9,2026-06-18
HUN,3.3,12.07,11743353,3590193,141.74,-5.3,2026-06-18
PMT,3.3,10.25,4166498,1243838,42.71,2.1,2026-06-18
VENU,3.3,2.88,1426784,431706,4.11,4.7,2026-06-18
EZGO,3.3,1.42,728560,223286,1.03,-12.3,2026-06-18
LX,3.3,2.0,3969745,1203686,7.94,-1.5,2026-06-18
SVC,3.3,1.69,17221696,5297550,29.1,3.0,2026-06-18
KELYA,3.3,11.36,1085210,325002,12.33,-1.1,2026-06-18
CAN,3.3,0.329,29383835,8840002,9.66,-4.5,2026-06-18
MMED,3.3,14.77,2855024,855901,42.17,2.6,2026-06-18
GEVO,3.3,1.54,9796930,3002409,15.09,1.3,2026-06-18
HLX,3.3,8.69,4302381,1301124,37.39,-1.7,2026-06-18
LTRX,3.2,6.64,3261217,1013379,21.65,0.5,2026-06-18
TEO,3.2,13.75,1918161,596481,26.37,-3.2,2026-06-18
NOV,3.2,18.66,11288882,3547156,210.65,-4.7,2026-06-18
TRT,3.2,15.83,2126923,673908,33.67,-1.1,2026-06-18
SONO,3.2,14.68,4365220,1365498,64.08,0.6,2026-06-18
OM,3.2,5.05,525986,163423,2.66,22.9,2026-06-18
OPFI,3.2,8.43,1685106,520832,14.21,1.4,2026-06-18
POWW,3.2,2.14,1235497,389262,2.64,8.1,2026-06-18
VOR,3.2,14.49,2875027,908461,41.66,-4.5,2026-06-18
VLN,3.2,2.44,6686803,2109416,16.32,2.5,2026-06-18
VWAV,3.2,4.93,1314387,410611,6.48,-17.0,2026-06-18
SBH,3.2,13.83,4009694,1241118,55.45,4.7,2026-06-18
ELDN,3.1,3.92,2640353,864655,10.35,3.7,2026-06-18
GAU,3.1,2.2,9950097,3218054,21.89,0.5,2026-06-18
GLXU,3.1,14.35,743373,242867,10.67,-0.1,2026-06-18
ELE,3.1,15.88,890087,286375,14.13,-4.7,2026-06-18
TENX,3.1,12.0,2691091,871882,32.29,0.5,2026-06-18
NUS,3.1,5.02,2191714,701898,11.0,1.0,2026-06-18
IART,3.1,17.58,2322863,741777,40.84,-3.1,2026-06-18
SMTK,3.1,0.313,11453566,3647413,3.59,9.4,2026-06-18
RNTX,3.1,0.916,2056659,658183,1.88,3.3,2026-06-18
RGC,3.1,12.01,380694,123802,4.57,-17.5,2026-06-18
CBUS,3.1,1.36,808226,262280,1.1,2.3,2026-06-18
ACH,3.1,3.23,2196316,716889,7.09,1.6,2026-06-18
CREG,3.1,2.77,753032,241559,2.09,16.4,2026-06-18
BEEM,3.1,1.37,1904636,614269,2.61,7.9,2026-06-18
IVVD,3.1,0.97,21078803,6892554,20.44,3.2,2026-06-18
ICL,3.1,5.14,4779170,1521261,24.56,-1.3,2026-06-18
CLBT,3.1,12.83,4430612,1444086,56.84,3.3,2026-06-18
CMPX,3.1,2.02,9276475,3027202,18.74,-2.9,2026-06-18
TRON,3.1,1.63,1302180,420799,2.12,-3.6,2026-06-18
DAVA,3.0,2.65,785765,263781,2.08,-1.5,2026-06-18
TSHA,3.0,6.42,6368906,2114706,40.89,2.8,2026-06-18
REFI,3.0,11.45,320151,108299,3.67,0.7,2026-06-18
NEO,3.0,11.13,6707588,2266788,74.66,5.2,2026-06-18
PBI,3.0,17.5,8012504,2675436,140.22,1.1,2026-06-18
OPRT,3.0,5.16,1109007,369561,5.72,1.2,2026-06-18
KYN,3.0,13.27,944356,310876,12.53,-0.4,2026-06-18
ARDX,3.0,6.05,9839094,3240423,59.53,2.5,2026-06-18
CINT,3.0,3.7,338795,114783,1.25,-5.1,2026-06-18
MATV,3.0,7.92,1188483,395895,9.41,1.1,2026-06-18
BXMT,3.0,18.09,3349122,1111097,60.59,0.8,2026-06-18
CBLL,3.0,18.03,708945,238153,12.78,2.3,2026-06-18
ECX,3.0,1.06,3780333,1268357,4.01,-6.2,2026-06-18
EBS,3.0,8.0,2229025,734569,17.83,-2.7,2026-06-18
EU,3.0,1.65,12419574,4086539,20.49,-3.5,2026-06-18
ERII,3.0,9.42,3558242,1187633,33.52,-1.3,2026-06-18
XNDU,3.0,13.37,9244628,3113076,123.6,-3.2,2026-06-18
TAL,2.9,9.19,9873709,3396641,90.74,0.7,2026-06-18
MFA,2.9,9.53,3861662,1345428,36.8,1.2,2026-06-18
RLMD,2.9,6.73,4106676,1407767,27.64,-0.1,2026-06-18
SMUP,2.9,9.11,665883,232354,6.07,20.8,2026-06-18
STXS,2.9,1.88,814474,283747,1.53,2.2,2026-06-18
OEC,2.9,7.44,1463347,500422,10.89,-5.0,2026-06-18
CHCT,2.9,17.43,388960,133532,6.78,-0.3,2026-06-18
ANNX,2.9,4.9,7342604,2518034,35.98,-3.9,2026-06-18
NABL,2.9,3.06,5811343,2021123,17.78,2.3,2026-06-18
PINE,2.9,19.13,451697,156680,8.64,-1.3,2026-06-18
ARKO,2.9,7.49,2765496,948186,20.71,-3.7,2026-06-18
VIVK,2.9,0.489,3650509,1256623,1.79,5.2,2026-06-18
NIXX,2.8,1.17,6252075,2271723,7.31,13.6,2026-06-18
BLND,2.8,1.65,7569495,2661199,12.49,1.2,2026-06-18
SLI,2.8,3.41,5204301,1879020,17.75,-3.1,2026-06-18
LENZ,2.8,6.15,1125460,402678,6.92,-3.6,2026-06-18
OBE,2.8,9.25,1514265,547748,14.01,-2.3,2026-06-18
CLNE,2.8,1.86,2893522,1030050,5.38,-1.1,2026-06-18
WTTR,2.8,17.7,3403734,1222907,60.25,-1.3,2026-06-18
XNCR,2.8,12.64,1815287,644938,22.95,-3.2,2026-06-18
DUOT,2.8,13.15,1359407,493234,17.88,8.1,2026-06-18
FLGT,2.8,18.0,684420,243240,12.32,0.3,2026-06-18
TBPH,2.8,16.58,952850,340847,15.8,-0.8,2026-06-18
ZURA,2.8,3.75,1765869,624397,6.62,3.3,2026-06-18
CRNC,2.8,10.77,2001493,716602,21.56,6.1,2026-06-18
GO,2.8,9.26,7100347,2523019,65.75,-3.2,2026-06-18
INNV,2.8,8.97,990532,358304,8.89,-3.2,2026-06-18
HCKT,2.8,10.4,702698,247662,7.31,-1.7,2026-06-18
SD,2.8,14.02,858141,301278,12.03,0.4,2026-06-18
SB,2.8,6.7,1477873,527175,9.9,-2.9,2026-06-18
FTRE,2.8,15.31,3008146,1069585,46.05,-2.9,2026-06-18
FLWS,2.8,3.89,712905,252813,2.77,-0.3,2026-06-18
WHWK,2.8,4.42,585155,207517,2.59,3.5,2026-06-18
KOPN,2.8,4.93,15633946,5646500,77.08,-3.5,2026-06-18
RDCM,2.8,12.76,393079,140133,5.02,-0.1,2026-06-18
CMTG,2.8,2.73,2071442,749350,5.66,5.4,2026-06-18
IKT,2.8,1.83,1484537,535077,2.72,6.4,2026-06-18
LFST,2.8,8.98,6914939,2481687,62.1,4.1,2026-06-18
SLS,2.8,8.05,14747756,5271314,118.72,0.0,2026-06-18
BDN,2.7,3.09,3383787,1270252,10.46,0.0,2026-06-18
MBLY,2.7,8.46,10455303,3928399,88.45,-3.8,2026-06-18
WIT,2.7,2.39,29607169,11134001,70.76,0.0,2026-06-18
HOPE,2.7,12.84,2448540,905515,31.44,0.2,2026-06-18
QXL,2.7,6.35,385041,142682,2.45,4.1,2026-06-18
LBTYK,2.7,10.79,2891231,1054100,31.2,-1.2,2026-06-18
CFFN,2.7,8.08,1961570,721830,15.85,-0.2,2026-06-18
OWLT,2.7,5.0,635486,236057,3.18,3.5,2026-06-18
KRO,2.7,6.84,555980,206934,3.8,-2.4,2026-06-18
GAIN,2.7,14.78,528460,194772,7.81,-1.4,2026-06-18
UNIT,2.7,11.64,6283656,2316723,73.14,-0.8,2026-06-18
SGML,2.7,13.65,6150403,2306133,83.95,-2.5,2026-06-18
VRDN,2.7,16.63,4032027,1473501,67.05,-3.0,2026-06-18
RGNX,2.7,7.8,3205429,1180685,25.0,-4.9,2026-06-18
RGP,2.7,4.23,894518,336766,3.78,-0.5,2026-06-18
AMSS,2.7,2.11,492078,181930,1.04,15.9,2026-06-18
AMPH,2.7,18.81,1327603,496037,24.97,-3.6,2026-06-18
TDUP,2.7,6.01,4310828,1572009,25.91,9.9,2026-06-18
AVIR,2.7,4.36,607583,224079,2.65,-0.9,2026-06-18
SMPL,2.6,12.63,4125595,1607146,52.11,3.4,2026-06-18
HURA,2.6,2.57,1096280,427298,2.82,12.7,2026-06-18
RIG,2.6,5.31,67158426,26165053,356.61,-4.3,2026-06-18
VREX,2.6,10.53,732828,284102,7.72,0.4,2026-06-18
IMNM,2.6,18.74,3318516,1280249,62.19,-0.3,2026-06-18
CXM,2.6,5.04,8310042,3258604,41.88,0.0,2026-06-18
IRWD,2.6,3.54,4942493,1871269,17.5,-1.4,2026-06-18
BMBL,2.6,2.96,6158927,2401250,18.23,0.0,2026-06-18
MTW,2.6,13.17,609594,232478,8.03,1.5,2026-06-18
PCG,2.6,16.48,34681417,13248610,571.55,0.2,2026-06-18
TLSI,2.6,4.08,999103,391523,4.08,3.8,2026-06-18
FLO,2.6,7.78,13961108,5437778,108.62,6.6,2026-06-18
DOMO,2.6,2.42,6136233,2345745,14.85,20.4,2026-06-18
SBMT,2.6,8.9,300010,117402,2.67,-2.3,2026-06-18
GLUE,2.6,18.31,2507724,982950,45.92,-4.0,2026-06-18
IMXI,2.6,14.32,960407,374393,13.75,-3.6,2026-06-18
NVAX,2.6,9.13,9458291,3573196,86.35,-5.6,2026-06-18
ALOY,2.6,17.78,6908198,2706693,122.83,4.6,2026-06-18
VSTM,2.5,4.12,4766027,1910645,19.64,-2.8,2026-06-18
FMC,2.5,11.55,8192164,3315860,94.62,-3.7,2026-06-18
DNOW,2.5,13.5,7293142,2910096,98.46,-0.6,2026-06-18
VTRS,2.5,15.37,22642340,9014708,348.01,-4.3,2026-06-18
NCDL,2.5,12.23,480237,191251,5.87,-0.6,2026-06-18
ERAS,2.5,13.67,9642125,3792470,131.81,-6.6,2026-06-18
XXI,2.5,5.52,2862321,1154363,15.8,-2.8,2026-06-18
ECVT,2.5,12.82,2527080,1009887,32.4,-0.9,2026-06-18
BVS,2.5,8.71,1060181,431944,9.23,1.2,2026-06-18
MITK,2.5,17.255,1770603,711022,30.55,1.1,2026-06-18
MIR,2.5,18.61,8561144,3410421,159.32,4.8,2026-06-18
CCC,2.5,4.41,17258890,7007701,76.11,0.7,2026-06-18
OBDC,2.5,10.87,8168759,3293832,88.79,-0.3,2026-06-18
SANA,2.5,3.15,6743940,2732888,21.24,1.6,2026-06-18
DFLI,2.5,1.98,868799,342557,1.72,2.6,2026-06-18
RPD,2.5,6.73,4061424,1603103,27.33,-0.6,2026-06-18
FVR,2.5,19.59,437082,173377,8.56,2.0,2026-06-18
GDOT,2.5,12.75,996247,398924,12.7,-0.9,2026-06-18
RES,2.5,6.58,3303593,1330272,21.74,0.3,2026-06-18
GCTS,2.5,3.18,9818405,3888550,31.22,20.0,2026-06-18
SATL,2.5,6.03,21647728,8745479,130.54,-2.4,2026-06-18
DERM,2.5,6.22,410485,167226,2.55,3.0,2026-06-18
AGPU,2.5,7.12,525008,206235,3.74,9.2,2026-06-18
PRTA,2.5,8.93,1390843,564620,12.42,3.5,2026-06-18
RPAY,2.5,3.39,1061938,422042,3.6,1.8,2026-06-18
TTD,2.5,18.51,50679169,20367981,938.07,2.5,2026-06-18
PAX,2.5,11.37,1437534,565177,16.34,-2.3,2026-06-18
IMDX,2.5,5.44,694709,277321,3.78,1.1,2026-06-18
ILPT,2.5,8.1,1161514,464224,9.41,-4.5,2026-06-18
TROX,2.5,7.4,5734246,2305843,42.43,-3.9,2026-06-18
TRLV,2.5,10.1,3221814,1281342,32.54,6.1,2026-06-18
KYTX,2.5,8.07,1474213,589685,11.9,-1.2,2026-06-18
LYEL,2.5,12.74,360104,144437,4.59,0.1,2026-06-18
MVIS,2.5,0.364,14768914,5900228,5.38,-6.6,2026-06-18
NAVI,2.5,8.09,2539457,1018132,20.54,0.5,2026-06-18
TG,2.5,7.78,426679,168265,3.32,-0.3,2026-06-18
NGL,2.5,15.99,693343,277170,11.09,3.2,2026-06-18
INO,2.5,1.115,2757454,1111122,3.07,0.5,2026-06-18
OPK,2.5,1.42,5231780,2057790,7.43,-0.7,2026-06-18
SVM,2.5,11.32,13908179,5572841,157.44,-4.6,2026-06-18
INFQ,2.5,13.53,27820408,11102059,376.41,-0.4,2026-06-18
PDYN,2.5,7.0,4741623,1863059,33.19,-2.5,2026-06-18
CNTN,2.5,3.35,2766958,1097904,9.27,-3.7,2026-06-18
