code,name,market,ratio,last_close,day_chg_%,latest_vol,baseline_vol,trade_value_억
289080,SV인베스트먼트,KOSDAQ,3.0,2190.0,-1.4,666681,219625,14.6
012610,경인양행,KOSPI,3.0,3385.0,5.1,512998,169692,17.4
020120,키다리스튜디오,KOSPI,2.9,3840.0,9.4,373536,127769,14.3
033240,자화전자,KOSPI,2.9,30800.0,1.8,250647,86066,77.2
001740,SK네트웍스,KOSPI,2.8,7590.0,-6.1,2311788,832845,175.5
009730,이렘,KOSDAQ,2.8,2545.0,-5.6,324103,113891,8.2
181710,NHN,KOSPI,2.7,74700.0,12.0,413613,154066,309.0
000680,LS네트웍스,KOSPI,2.7,3050.0,2.2,186055,69578,5.7
059210,메타바이오메드,KOSDAQ,2.7,4230.0,6.3,291185,107451,12.3
161890,한국콜마,KOSPI,2.7,136700.0,1.1,604709,222708,826.6
086390,유니테스트,KOSDAQ,2.6,10630.0,9.2,376749,146917,40.0
362320,청담글로벌,KOSDAQ,2.6,5190.0,0.0,146213,55492,7.6
159010,아스플로,KOSDAQ,2.6,23300.0,1.5,603563,235183,140.6
101170,우림피티에스,KOSDAQ,2.5,8710.0,4.3,145564,58700,12.7
060280,큐렉소,KOSDAQ,2.5,9670.0,1.5,585555,232906,56.6
047770,코데즈컴바인,KOSDAQ,2.5,2700.0,3.3,598230,235467,16.2
005360,모나미,KOSPI,2.5,1680.0,-5.8,5485899,2173224,92.2
228670,레이,KOSDAQ,2.5,5370.0,4.3,364398,144244,19.6
099440,스맥,KOSDAQ,2.5,4300.0,5.9,806417,324816,34.7
900300,오가닉티코스메틱,KOSDAQ,2.5,2845.0,-5.2,303865,121024,8.6
041920,메디아나,KOSDAQ,2.5,9920.0,-1.5,166423,66375,16.5
058610,에스피지,KOSDAQ,2.5,118600.0,5.7,1362139,537368,1615.5
032350,롯데관광개발,KOSPI,2.4,13760.0,7.4,735851,303129,101.3
013310,아진산업,KOSDAQ,2.4,2745.0,2.6,296372,123057,8.1
092870,엑시콘,KOSDAQ,2.4,21200.0,6.6,423013,177594,89.7
166090,하나머티리얼즈,KOSDAQ,2.4,58300.0,-2.8,411486,174130,239.9
272110,케이엔제이,KOSDAQ,2.4,26300.0,-6.1,271823,114852,71.5
387690,레메디,KOSDAQ,2.4,11070.0,7.1,3096141,1316207,342.7
025560,미래산업,KOSPI,2.4,10180.0,-0.5,1423377,582086,144.9
052900,KX하이텍,KOSDAQ,2.4,1230.0,0.4,2251981,933167,27.7
123330,제닉,KOSDAQ,2.4,27300.0,-9.5,921828,382423,251.7
041190,우리기술투자,KOSDAQ,2.3,4915.0,1.2,786828,342496,38.7
136490,선진,KOSPI,2.3,10450.0,-1.8,217427,93503,22.7
001820,삼화콘덴서,KOSPI,2.3,103000.0,-0.3,1096550,484579,1129.4
078350,한양디지텍,KOSDAQ,2.3,23550.0,-1.3,257612,113993,60.7
005950,이수화학,KOSPI,2.3,15650.0,1.7,1025798,444139,160.5
017960,한국카본,KOSPI,2.3,25150.0,3.5,511224,225877,128.6
030200,KT,KOSPI,2.3,53400.0,1.7,677491,300084,361.8
017670,SK텔레콤,KOSPI,2.3,100500.0,10.3,3102246,1324631,3117.8
298830,슈어소프트테크,KOSDAQ,2.2,4505.0,2.2,435707,197509,19.6
381620,제닉스로보틱스,KOSDAQ,2.2,6800.0,1.6,350571,158065,23.8
101400,엔시트론,KOSDAQ,2.2,1930.0,-12.9,415388,191024,8.0
035890,서희건설,KOSDAQ,2.2,2095.0,2.9,519777,234697,10.9
170920,엘티씨,KOSDAQ,2.2,38250.0,-5.8,474719,212009,181.6
160980,싸이맥스,KOSDAQ,2.2,33600.0,-3.9,330428,147749,111.0
306620,지아이에스,KOSDAQ,2.2,1899.0,1.7,651380,293034,12.4
440110,파두,KOSDAQ,2.2,65500.0,4.0,1184099,529113,775.6
950160,코오롱티슈진,KOSDAQ,2.2,28550.0,11.5,9744130,4463304,2781.9
340570,티앤엘,KOSDAQ,2.1,32650.0,2.0,169739,82542,55.4
011090,에넥스,KOSPI,2.1,1518.0,-13.3,1083062,515476,16.4
265740,엔에프씨,KOSDAQ,2.1,6180.0,-2.5,552096,261370,34.1
080220,제주반도체,KOSDAQ,2.1,81500.0,-7.7,4162573,1988462,3392.5
003550,LG,KOSPI,2.1,120000.0,5.5,503011,235347,603.6
018470,조일알미늄,KOSPI,2.1,1049.0,1.5,1255854,594976,13.2
073010,케이에스피,KOSDAQ,2.0,3165.0,6.4,285811,141288,9.0
031980,피에스케이홀딩스,KOSDAQ,2.0,111200.0,5.7,324859,164640,361.2
090850,현대이지웰,KOSDAQ,2.0,5250.0,5.0,221577,110541,11.6
187870,디바이스,KOSDAQ,2.0,12850.0,-0.4,204333,102431,26.3
029780,삼성카드,KOSPI,1.9,48550.0,3.5,144643,74297,70.2
012860,모베이스전자,KOSDAQ,1.9,2565.0,-0.2,1000840,514931,25.7
200470,에이팩트,KOSDAQ,1.9,6070.0,4.8,979383,528239,59.4
226400,오스테오닉,KOSDAQ,1.9,4780.0,0.3,163214,87648,7.8
001680,대상,KOSPI,1.9,18370.0,3.3,171615,91276,31.5
437730,삼현,KOSDAQ,1.9,40100.0,4.4,328004,175158,131.5
044490,태웅,KOSDAQ,1.9,35200.0,-3.6,360250,192237,126.8
068790,DMS,KOSDAQ,1.9,7280.0,-2.2,208986,112610,15.2
011300,우성머티리얼스,KOSPI,1.9,3605.0,0.0,267256,141518,9.6
077500,유니퀘스트,KOSPI,1.9,6800.0,2.6,231954,119307,15.8
018290,브이티,KOSDAQ,1.9,12990.0,-2.9,469208,251834,61.0
010820,퍼스텍,KOSPI,1.9,6590.0,1.9,854794,445429,56.3
094820,일진파워,KOSDAQ,1.8,12760.0,-2.4,178304,99458,22.8
085910,네오티스,KOSDAQ,1.8,18450.0,-7.0,212112,117977,39.1
042660,한화오션,KOSPI,1.8,95800.0,5.6,2001550,1126310,1917.5
489460,바이오비쥬,KOSDAQ,1.8,12210.0,-1.5,174753,96026,21.3
900340,윙입푸드,KOSDAQ,1.8,1662.0,-2.5,1868838,1051590,31.1
158430,아톤,KOSDAQ,1.8,4825.0,5.7,260582,145390,12.6
074600,원익QnC,KOSDAQ,1.8,29150.0,-3.5,413692,236170,120.6
003690,코리안리,KOSPI,1.8,15290.0,4.2,465747,263492,71.2
102940,코오롱생명과학,KOSDAQ,1.8,18460.0,5.7,421030,229611,77.7
046120,오르비텍,KOSDAQ,1.8,5010.0,-3.7,360966,195529,18.1
254490,미래반도체,KOSDAQ,1.8,17060.0,-0.4,204638,115633,34.9
003010,혜인,KOSPI,1.8,9690.0,29.9,959794,530617,93.0
201490,미투온,KOSDAQ,1.8,2340.0,0.0,282053,157258,6.6
002220,한일철강,KOSPI,1.7,3320.0,-7.9,603130,354016,20.0
044340,위닉스,KOSDAQ,1.7,4210.0,5.1,1599959,916916,67.4
048770,TPC로보틱스,KOSDAQ,1.7,3350.0,0.0,189389,108613,6.3
389500,에스비비테크,KOSDAQ,1.7,41100.0,2.2,208914,125655,85.9
005830,DB손해보험,KOSPI,1.7,176800.0,6.1,258950,154977,457.8
006660,삼성공조,KOSPI,1.7,11630.0,-0.9,192631,113480,22.4
103590,일진전기,KOSPI,1.7,74300.0,2.6,528090,306186,392.4
082800,비보존 제약,KOSDAQ,1.7,2995.0,4.4,329852,195539,9.9
228340,동양파일,KOSDAQ,1.7,3100.0,-2.5,531008,309091,16.5
419050,삼기에너지솔루션즈,KOSDAQ,1.7,1804.0,-1.8,20276148,12276354,365.8
002990,금호건설,KOSPI,1.7,13400.0,-6.8,9859127,5671969,1321.1
001450,현대해상,KOSPI,1.7,45350.0,5.6,1120890,676749,508.3
075580,세진중공업,KOSPI,1.7,11960.0,4.0,230728,134778,27.6
100090,SK오션플랜트,KOSPI,1.7,14440.0,0.7,1245696,720745,179.9
102120,어보브반도체,KOSDAQ,1.6,8260.0,0.9,189460,116064,15.6
042520,한스바이오메드,KOSDAQ,1.6,21050.0,1.0,158959,101472,33.5
003610,방림,KOSPI,1.6,5560.0,-0.2,173291,105538,9.6
047050,포스코인터내셔널,KOSPI,1.6,53300.0,-1.8,679737,419391,362.3
085620,미래에셋생명,KOSPI,1.6,20850.0,7.8,301202,186775,62.8
067170,오텍,KOSDAQ,1.6,2280.0,0.2,337649,214478,7.7
336570,원텍,KOSDAQ,1.6,5310.0,-0.4,848531,538473,45.1
059090,미코,KOSDAQ,1.6,19350.0,-0.8,228517,142479,44.2
412350,레이저쎌,KOSDAQ,1.6,4595.0,1.1,265027,168886,12.2
064400,LG씨엔에스,KOSPI,1.6,79900.0,1.9,1565452,972831,1250.8
015760,한국전력,KOSPI,1.6,33250.0,0.5,1652497,1030128,549.5
