ticker,date,ratio,prior7_%,fwd_oc_%,fwd_cc_%,fwd_oc_net_%
CHAI,2026-06-09,1883.9,77.1,0.7,-26.3,-1.8
CHAI,2026-06-10,80.2,35.6,12.8,9.5,10.3
CHNR,2026-06-10,63.4,-9.4,-7.1,-2.1,-9.6
CHOW,2026-06-08,80.5,-9.8,28.2,7.5,25.7
CHOW,2026-06-09,111.2,-2.9,-20.2,109.2,-22.7
CHOW,2026-06-10,481.7,85.6,-6.8,-26.7,-9.3
CHR,2026-06-10,10.0,-23.2,7.0,7.5,4.5
CHSN,2026-06-03,21.5,1.6,6.7,1.6,4.2
CHSN,2026-06-10,33.8,15.3,-2.4,-11.8,-4.9
CIEG,2026-06-04,32.8,-24.4,-8.9,-17.3,-11.4
CIIT,2026-06-10,1602.6,20.1,17.9,-1.9,15.4
CIIT,2026-06-11,16.1,31.7,-2.2,11.4,-4.7
CIIT,2026-06-12,172.4,60.0,-22.5,-15.9,-25.0
CIIT,2026-06-15,13.2,30.4,-28.8,-70.1,-31.3
CISS,2026-06-03,49.6,-6.4,7.4,-1.4,4.9
CLIK,2026-05-29,52.8,37.4,1.0,6.3,-1.5
CLIK,2026-06-08,122.0,0.5,-15.6,-17.4,-18.1
CMND,2026-05-29,306.0,51.5,10.1,-11.5,7.6
CMND,2026-06-05,192.4,60.5,17.3,-4.8,14.8
CMTL,2026-06-15,17.6,-49.0,6.0,8.5,3.5
CNCK,2026-05-12,1030.5,16.4,3.2,-5.8,0.7
CNCK,2026-05-13,25.5,10.2,12.4,12.4,9.9
CNCK,2026-05-14,10.1,24.6,-1.5,-6.9,-4.0
CNEY,2026-05-20,18.0,101.6,11.8,15.6,9.3
CNTX,2026-06-15,34.7,-66.5,-7.8,-4.2,-10.3
CODX,2026-05-11,18.6,22.6,-9.5,-9.5,-12.0
CODX,2026-05-19,317.9,-22.1,18.3,21.3,15.8
CODX,2026-05-20,37.7,25.8,17.8,55.2,15.3
CODX,2026-05-21,122.2,115.7,51.1,36.7,48.6
CPSH,2026-05-26,37.7,126.5,-10.8,4.2,-13.3
CPSH,2026-05-27,10.3,152.5,19.4,-4.2,16.9
CRBP,2026-05-26,12.2,-34.0,-3.7,-1.1,-6.2
CREG,2026-05-12,50.8,-53.6,-13.0,-21.3,-15.5
CREG,2026-05-14,106.3,36.7,-2.5,-33.3,-5.0
CREG,2026-05-18,12.8,32.4,-25.7,-26.1,-28.2
CREG,2026-05-29,20.8,-36.6,11.2,8.1,8.7
CRMT,2026-06-01,16.0,-42.3,20.0,21.6,17.5
CRMT,2026-06-10,35.3,-65.5,28.1,13.5,25.6
CRMT,2026-06-11,10.8,-67.7,-21.1,-22.3,-23.6
CRMT,2026-06-12,12.7,-71.6,2.6,15.3,0.1
CRSR,2026-05-27,10.9,46.1,7.8,21.7,5.3
CRSR,2026-05-28,16.8,73.7,1.8,1.6,-0.7
CRVO,2026-06-15,98.1,-20.5,35.3,82.3,32.8
CTM,2026-06-15,272.3,-5.9,5.6,1.6,3.1
CTNT,2026-06-01,59.7,5.8,-35.5,-9.3,-38.0
CTNT,2026-06-02,142.0,-8.3,13.0,5.5,10.5
CUPR,2026-06-10,22.1,-15.0,12.1,6.6,9.6
CUPR,2026-06-12,804.0,40.3,-23.2,111.8,-25.7
CUPR,2026-06-15,343.8,208.1,-11.6,-37.3,-14.1
CURV,2026-06-04,13.4,-4.8,36.7,18.0,34.2
CYCU,2026-05-29,27.3,7.6,1.0,0.0,-1.5
DAIC,2026-06-05,50.6,-46.8,8.7,-6.6,6.2
DAIC,2026-06-09,48.1,-44.9,10.8,-4.1,8.3
DBGI,2026-05-21,72.1,-61.1,-7.9,-19.7,-10.4
DBGI,2026-05-22,10.1,-68.5,-15.8,-19.2,-18.3
DBGI,2026-06-01,11.0,-17.8,-28.5,-16.5,-31.0
DEVS,2026-05-29,451.1,93.3,15.0,27.7,12.5
DEVS,2026-06-01,58.7,145.7,71.0,57.1,68.5
DEVS,2026-06-02,56.2,260.7,-9.5,10.5,-12.0
DLTH,2026-06-08,19.8,20.1,5.2,8.4,2.7
DOC,2026-05-29,10.1,-0.8,-0.6,-0.8,-3.1
DOMH,2026-06-01,10.1,0.6,1.2,2.8,-1.3
DSGN,2026-05-18,13.6,-24.1,-1.9,-2.0,-4.4
DSS,2026-06-09,836.3,4.6,35.2,33.9,32.7
DSS,2026-06-10,12.9,33.1,-13.8,-14.9,-16.3
DSY,2026-06-12,322.5,156.8,1.6,6.1,-0.9
DTSS,2026-06-11,76.3,14.8,-0.2,-0.7,-2.7
DUO,2026-06-09,113.6,-18.3,2.8,1.7,0.3
DXF,2026-05-12,329.3,17.8,26.7,29.1,24.2
DXF,2026-05-13,198.9,53.6,37.8,130.2,35.3
DXF,2026-05-14,203.2,260.7,3.7,-20.6,1.2
DXF,2026-06-01,26.1,-53.1,-6.2,-6.3,-8.7
DXF,2026-06-04,21.0,28.7,-2.7,-33.2,-5.2
DXST,2026-06-15,34.6,-19.9,10.2,12.2,7.7
ECOR,2026-05-26,10.5,38.6,3.2,3.7,0.7
EDBL,2026-05-13,30.6,-16.9,-16.0,9.9,-18.5
EDBL,2026-05-14,105.5,0.7,-30.4,-5.5,-32.9
EDBL,2026-05-15,122.8,-0.7,12.6,-26.3,10.1
EDHL,2026-06-05,14.7,46.2,6.6,-12.1,4.1
EDHL,2026-06-10,21.4,26.8,-63.8,70.9,-66.3
EDHL,2026-06-11,141.2,119.0,2.1,44.5,-0.4
EDIT,2026-05-27,14.9,36.3,-3.9,-3.9,-6.4
ELAB,2026-05-28,28.5,2.1,-4.3,-7.8,-6.8
ELAB,2026-06-01,14.7,1.7,-0.6,-5.1,-3.1
ELAB,2026-06-11,19.4,-7.1,-2.6,-5.8,-5.1
ELMT,2026-06-01,11.7,35.1,9.5,16.6,7.0
ELPW,2026-06-09,100.3,45.0,6.4,0.0,3.9
ELTX,2026-06-15,67.0,-70.7,-32.4,-32.4,-34.9
ENGN,2026-05-11,13.9,-79.5,-0.7,-3.4,-3.2
ENGS,2026-05-20,12.2,-0.7,4.8,3.4,2.3
ENGS,2026-05-21,10.2,0.0,-1.3,0.0,-3.8
ENLV,2026-05-27,10.5,8.5,-8.1,-2.3,-10.6
ENSC,2026-05-11,395.5,2.8,-4.4,-17.1,-6.9
ENSC,2026-05-12,16.0,-18.6,-3.7,-8.9,-6.2
ENVB,2026-06-12,15.1,-22.7,-7.5,-3.3,-10.0
EPSM,2026-06-08,33.1,-1.7,29.7,72.3,27.2
EPSM,2026-06-09,201.5,69.4,12.9,-10.2,10.4
ERNA,2026-05-12,19.9,215.0,-15.5,1.1,-18.0
EWZS,2026-05-11,37.0,-1.9,-0.3,-0.2,-2.8
EWZS,2026-05-13,44.7,-4.9,0.9,1.8,-1.6
EWZS,2026-06-01,15.7,-2.0,1.2,1.6,-1.3
EZGO,2026-05-11,13.0,-97.3,-25.3,-20.2,-27.8
EZGO,2026-06-09,72.9,0.0,5.2,5.2,2.7
FA,2026-06-15,22.1,7.7,-1.2,-1.6,-3.7
FATN,2026-05-28,11.0,48.7,3.1,3.9,0.6
FBLG,2026-05-11,15.3,-25.0,4.8,11.1,2.3
FCHL,2026-05-12,12.7,-48.7,9.1,52.6,6.6
FCHL,2026-05-13,166.6,-34.1,31.4,32.0,28.9
FCHL,2026-05-14,10.1,0.4,-28.5,-34.3,-31.0
FCHL,2026-06-08,26.7,-21.4,3.5,8.2,1.0
FCUV,2026-05-14,165.7,-38.1,20.8,17.4,18.3
FCUV,2026-05-15,89.0,-20.5,1.9,1.5,-0.6
FCUV,2026-06-08,24.0,-5.3,10.8,10.8,8.3
FEED,2026-05-12,22.1,4.2,-7.2,-6.5,-9.7
FEED,2026-06-03,47.4,-14.9,-2.3,-1.2,-4.8
FEED,2026-06-09,69.5,-17.0,16.4,13.9,13.9
FENC,2026-05-14,12.7,37.5,5.0,5.5,2.5
FGL,2026-06-11,99.5,-8.2,0.6,-7.4,-1.9
FGMC,2026-06-02,10.2,0.7,-0.6,-0.3,-3.1
FJET,2026-05-22,11.0,43.4,-18.9,-10.6,-21.4
