sym,verdict,reason,signals,last_candle,from_low_%,near_base,name
187660.KQ,⛔ EXCLUDE,과상승(저점대비 +456% / 5.6배),-,-,456.0,,페니트리움바이오
020150.KS,⛔ EXCLUDE,과상승(저점대비 +138% / 2.4배),위꼬리양봉,-,138.0,,롯데에너지머티리얼즈
004100.KS,⛔ EXCLUDE,과상승(저점대비 +54% / 1.5배),-,-,54.0,,태양금속
347700.KQ,⛔ EXCLUDE,과상승(저점대비 +289% / 3.9배),-,음봉스프링,289.0,,스피어
389500.KQ,⛔ EXCLUDE,과상승(저점대비 +189% / 2.9배),-,음봉스프링,189.0,,에스비비테크
011230.KS,⛔ EXCLUDE,과상승(저점대비 +86% / 1.9배),"양봉스프링, 작은몸통양꼬리양봉",양봉스프링,86.0,,삼화전자
138360.KQ,⛔ EXCLUDE,과상승(저점대비 +294% / 3.9배),작은몸통양꼬리양봉,작은몸통양꼬리양봉,294.0,,앤로보틱스
476060.KQ,⛔ EXCLUDE,과상승(저점대비 +211% / 3.1배),작은몸통양꼬리양봉,-,211.0,,온코닉테라퓨틱스
183300.KQ,⛔ EXCLUDE,과상승(저점대비 +262% / 3.6배),-,-,262.0,,코미코
103590.KS,⛔ EXCLUDE,과상승(저점대비 +168% / 2.7배),-,-,168.0,,일진전기
272210.KS,⛔ EXCLUDE,과상승(저점대비 +115% / 2.1배),위꼬리양봉,음봉스프링,115.0,,한화시스템
412350.KQ,⛔ EXCLUDE,과상승(저점대비 +295% / 4.0배),-,-,295.0,,레이저쎌
001430.KS,⛔ EXCLUDE,과상승(저점대비 +89% / 1.9배),-,음봉스프링,89.0,,세아베스틸지주
003720.KS,⛔ EXCLUDE,과상승(저점대비 +125% / 2.3배),-,-,125.0,,삼영
454910.KS,⛔ EXCLUDE,과상승(저점대비 +105% / 2.0배),-,-,105.0,,두산로보틱스
456010.KQ,⛔ EXCLUDE,과상승(저점대비 +113% / 2.1배),-,-,113.0,,아이씨티케이
077360.KQ,⛔ EXCLUDE,과상승(저점대비 +243% / 3.4배),-,-,243.0,,덕산하이메탈
253590.KQ,⛔ EXCLUDE,과상승(저점대비 +74% / 1.7배),-,-,74.0,,네오셈
028050.KS,⛔ EXCLUDE,과상승(저점대비 +129% / 2.3배),-,음봉스프링,129.0,,삼성E&A
037030.KQ,⛔ EXCLUDE,과상승(저점대비 +126% / 2.3배),-,-,126.0,,파워넷
010950.KS,⛔ EXCLUDE,과상승(저점대비 +83% / 1.8배),작은몸통양꼬리양봉,-,83.0,,S-Oil
074600.KQ,⛔ EXCLUDE,과상승(저점대비 +126% / 2.3배),-,-,126.0,,원익QnC
356680.KQ,⛔ EXCLUDE,과상승(저점대비 +187% / 2.9배),양봉스프링,-,187.0,,엑스게이트
001450.KS,⛔ EXCLUDE,과상승(저점대비 +61% / 1.6배),위꼬리양봉,도지,61.0,,현대해상
016360.KS,⛔ EXCLUDE,과상승(저점대비 +84% / 1.8배),-,-,84.0,,삼성증권
396300.KQ,⛔ EXCLUDE,과상승(저점대비 +94% / 1.9배),-,-,94.0,,세아메카닉스
440110.KQ,⛔ EXCLUDE,과상승(저점대비 +897% / 10.0배),-,-,897.0,,파두
042520.KQ,⛔ EXCLUDE,과상승(저점대비 +249% / 3.5배),-,-,249.0,,한스바이오메드
375500.KS,⛔ EXCLUDE,과상승(저점대비 +108% / 2.1배),-,음봉스프링,108.0,,DL이앤씨
462350.KQ,⛔ EXCLUDE,과상승(저점대비 +121% / 2.2배),작은몸통양꼬리양봉,음봉스프링,121.0,,이노스페이스
314130.KQ,⛔ EXCLUDE,과상승(저점대비 +117% / 2.2배),-,-,117.0,,지놈앤컴퍼니
042660.KS,⛔ EXCLUDE,과상승(저점대비 +76% / 1.8배),-,-,76.0,,한화오션
032500.KQ,⛔ EXCLUDE,과상승(저점대비 +119% / 2.2배),-,-,119.0,,케이엠더블유
094800.KS,⛔ EXCLUDE,과상승(저점대비 +53% / 1.5배),"양봉스프링, 작은몸통양꼬리양봉, 상승펀치",작은몸통양꼬리양봉,53.0,,맵스리얼티
078930.KS,⛔ EXCLUDE,과상승(저점대비 +67% / 1.7배),작은몸통양꼬리양봉,-,67.0,,GS
457190.KS,⛔ EXCLUDE,과상승(저점대비 +111% / 2.1배),작은몸통양꼬리양봉,-,111.0,,이수스페셜티케미컬
458870.KQ,⛔ EXCLUDE,과상승(저점대비 +388% / 4.9배),"양봉스프링, 위꼬리양봉",음봉스프링,388.0,,씨어스
088350.KS,⛔ EXCLUDE,과상승(저점대비 +86% / 1.9배),위꼬리양봉,-,86.0,,한화생명
010820.KS,⛔ EXCLUDE,과상승(저점대비 +110% / 2.1배),작은몸통양꼬리양봉,-,110.0,,퍼스텍
354320.KQ,⛔ EXCLUDE,과상승(저점대비 +170% / 2.7배),작은몸통양꼬리양봉,음봉스프링,170.0,,알멕
290550.KQ,⛔ EXCLUDE,과상승(저점대비 +256% / 3.6배),-,-,256.0,,디케이티
170920.KQ,⛔ EXCLUDE,과상승(저점대비 +431% / 5.3배),-,-,431.0,,엘티씨
389030.KQ,⛔ EXCLUDE,과상승(저점대비 +81% / 1.8배),-,-,81.0,,지니너스
041960.KQ,⛔ EXCLUDE,과상승(저점대비 +74% / 1.7배),작은몸통양꼬리양봉,-,74.0,,코미팜
061970.KQ,⛔ EXCLUDE,과상승(저점대비 +57% / 1.6배),위꼬리양봉,도지,57.0,,LB세미콘
059120.KQ,⛔ EXCLUDE,과상승(저점대비 +127% / 2.3배),-,-,127.0,,아진엑스텍
241520.KQ,⛔ EXCLUDE,과상승(저점대비 +87% / 1.9배),-,-,87.0,,DSC인베스트먼트
274090.KQ,⛔ EXCLUDE,과상승(저점대비 +70% / 1.7배),-,-,70.0,,켄코아에어로스페이스
218410.KQ,⛔ EXCLUDE,과상승(저점대비 +242% / 3.4배),-,-,242.0,,RFHIC
017670.KS,⛔ EXCLUDE,과상승(저점대비 +87% / 1.9배),-,-,87.0,,SK텔레콤
080220.KQ,⛔ EXCLUDE,과상승(저점대비 +797% / 9.0배),작은몸통양꼬리양봉,-,797.0,,제주반도체
451220.KQ,⛔ EXCLUDE,과상승(저점대비 +82% / 1.8배),작은몸통양꼬리양봉,-,82.0,,아이엠티
050890.KQ,⛔ EXCLUDE,과상승(저점대비 +103% / 2.0배),-,-,103.0,,쏠리드
252990.KQ,⛔ EXCLUDE,과상승(저점대비 +234% / 3.3배),-,-,234.0,,샘씨엔에스
000270.KS,⛔ EXCLUDE,과상승(저점대비 +70% / 1.7배),-,-,70.0,,기아
005290.KQ,⛔ EXCLUDE,과상승(저점대비 +125% / 2.3배),"작은몸통양꼬리양봉, 위꼬리양봉",-,125.0,,동진쎄미켐
003470.KS,⛔ EXCLUDE,과상승(저점대비 +55% / 1.5배),-,-,55.0,,유안타증권
064850.KQ,⛔ EXCLUDE,과상승(저점대비 +265% / 3.7배),작은몸통양꼬리양봉,-,265.0,,에프앤가이드
006910.KQ,⛔ EXCLUDE,과상승(저점대비 +183% / 2.8배),작은몸통양꼬리양봉,음봉스프링,183.0,,보성파워텍
322510.KQ,⛔ EXCLUDE,과상승(저점대비 +50% / 1.5배),-,-,50.0,,제이엘케이
064290.KQ,⛔ EXCLUDE,과상승(저점대비 +485% / 5.8배),상승펀치,-,485.0,,인텍플러스
105840.KS,⛔ EXCLUDE,과상승(저점대비 +106% / 2.1배),작은몸통양꼬리양봉,-,106.0,,우진
044490.KQ,⛔ EXCLUDE,과상승(저점대비 +77% / 1.8배),-,-,77.0,,태웅
474610.KQ,⛔ EXCLUDE,과상승(저점대비 +132% / 2.3배),"작은몸통양꼬리양봉, 위꼬리양봉",-,132.0,,RF시스템즈
007610.KS,⛔ EXCLUDE,과상승(저점대비 +87% / 1.9배),작은몸통양꼬리양봉,-,87.0,,선도전기
205500.KQ,⛔ EXCLUDE,과상승(저점대비 +90% / 1.9배),-,-,90.0,,넥써쓰
166090.KQ,⛔ EXCLUDE,과상승(저점대비 +193% / 2.9배),작은몸통양꼬리양봉,-,193.0,,하나머티리얼즈
010140.KS,⛔ EXCLUDE,과상승(저점대비 +78% / 1.8배),-,-,78.0,,삼성중공업
027360.KQ,⛔ EXCLUDE,과상승(저점대비 +236% / 3.4배),-,-,236.0,,아주IB투자
322310.KQ,⛔ EXCLUDE,과상승(저점대비 +60% / 1.6배),"작은몸통양꼬리양봉, 양봉스프링",작은몸통양꼬리양봉,60.0,,오로스테크놀로지
012200.KS,⛔ EXCLUDE,과상승(저점대비 +346% / 4.5배),-,-,346.0,,계양전기
048770.KQ,⛔ EXCLUDE,과상승(저점대비 +129% / 2.3배),작은몸통양꼬리양봉,-,129.0,,TPC로보틱스
084370.KQ,⛔ EXCLUDE,과상승(저점대비 +390% / 4.9배),-,-,390.0,,유진테크
356860.KQ,⛔ EXCLUDE,과상승(저점대비 +330% / 4.3배),-,-,330.0,,티엘비
319400.KQ,⛔ EXCLUDE,과상승(저점대비 +718% / 8.2배),작은몸통양꼬리양봉,음봉스프링,718.0,,현대무벡스
178320.KQ,⛔ EXCLUDE,과상승(저점대비 +279% / 3.8배),작은몸통양꼬리양봉,작은몸통양꼬리양봉,279.0,,서진시스템
052900.KQ,⛔ EXCLUDE,과상승(저점대비 +68% / 1.7배),-,-,68.0,,KX하이텍
067310.KQ,⛔ EXCLUDE,과상승(저점대비 +396% / 5.0배),"작은몸통양꼬리양봉, 상승펀치",-,396.0,,하나마이크론
006800.KS,⛔ EXCLUDE,과상승(저점대비 +200% / 3.0배),-,-,200.0,,미래에셋증권
036540.KQ,⛔ EXCLUDE,과상승(저점대비 +144% / 2.4배),위꼬리양봉,-,144.0,,SFA반도체
018880.KS,⛔ EXCLUDE,과상승(저점대비 +68% / 1.7배),-,-,68.0,,한온시스템
417200.KQ,⛔ EXCLUDE,과상승(저점대비 +83% / 1.8배),작은몸통양꼬리양봉,-,83.0,,LS머트리얼즈
281820.KS,⛔ EXCLUDE,과상승(저점대비 +263% / 3.6배),-,-,263.0,,케이씨텍
332570.KQ,⛔ EXCLUDE,과상승(저점대비 +153% / 2.5배),-,-,153.0,,PS일렉트로닉스
290690.KQ,⛔ EXCLUDE,과상승(저점대비 +76% / 1.8배),위꼬리양봉,-,76.0,,소룩스
100790.KQ,⛔ EXCLUDE,과상승(저점대비 +330% / 4.3배),-,-,330.0,,미래에셋벤처투자
001740.KS,⛔ EXCLUDE,과상승(저점대비 +152% / 2.5배),위꼬리양봉,-,152.0,,SK네트웍스
452260.KS,⛔ EXCLUDE,과상승(저점대비 +164% / 2.6배),작은몸통양꼬리양봉,-,164.0,,한화갤러리아
124500.KQ,⛔ EXCLUDE,과상승(저점대비 +137% / 2.4배),-,음봉스프링,137.0,,아이티센글로벌
489790.KS,⛔ EXCLUDE,과상승(저점대비 +98% / 2.0배),-,-,98.0,,한화비전
