sym,verdict,reason,signals,last_candle,from_low_%,near_base,name
900290.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,24.0,,GRT
010660.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,도지,12.0,,화천기계
250060.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,40.0,,모비스
019990.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,11.0,,에너토크
112610.KS,✅ PASS,캔들신호 2종,"작은몸통양꼬리양봉, 양봉스프링",음봉스프링,15.0,,씨에스윈드
488280.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,19.0,,에스투더블유
047920.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,음봉스프링,33.0,,HLB제약
131030.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,도지,12.0,,옵투스제약
340450.KQ,✅ PASS,캔들신호 2종,"위꼬리양봉, 작은몸통양꼬리양봉",-,11.0,,지씨지놈
005690.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,38.0,,파미셀
037270.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,14.0,,YG PLUS
051630.KS,✅ PASS,캔들신호 1종,위꼬리양봉,도지,49.0,,진양화학
192650.KS,✅ PASS,캔들신호 1종,양봉스프링,-,31.0,,드림텍
041190.KQ,✅ PASS,캔들신호 1종,위꼬리양봉,-,11.0,,우리기술투자
365550.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,18.0,✔,ESR켄달스퀘어리츠
490470.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,29.0,,세미파이브
073010.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,14.0,,케이에스피
042940.KQ,✅ PASS,캔들신호 1종,위꼬리양봉,-,34.0,,상지건설
036460.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,5.0,✔,한국가스공사
037560.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,1.0,,LG헬로비전
330590.KS,✅ PASS,캔들신호 3종,"위꼬리양봉, 작은몸통양꼬리양봉, 상승다람쥐",도지,21.0,,롯데리츠
034830.KS,✅ PASS,캔들신호 1종,위꼬리양봉,-,12.0,,한국토지신탁
068270.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,15.0,,셀트리온
009830.KS,✅ PASS,캔들신호 1종,위꼬리양봉,-,49.0,,한화솔루션
011200.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,음봉스프링,14.0,,HMM
096770.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,음봉스프링,12.0,,SK이노베이션
041440.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,14.0,,현대에버다임
011930.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,49.0,,신성이엔지
015860.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,47.0,,일진홀딩스
451800.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,28.0,,한화리츠
395400.KS,✅ PASS,캔들신호 2종,"위꼬리양봉, 작은몸통양꼬리양봉",작은몸통양꼬리양봉,35.0,,SK리츠
378800.KQ,✅ PASS,캔들신호 1종,위꼬리양봉,-,26.0,,샤페론
450080.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,32.0,,에코프로머티
102120.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,12.0,,어보브반도체
039860.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,40.0,,나노엔텍
001040.KS,✅ PASS,캔들신호 2종,"작은몸통양꼬리양봉, 상승다람쥐",-,31.0,,CJ
380550.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,23.0,,뉴로핏
015760.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,42.0,,한국전력
299170.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,8.0,,더블유에스아이
101160.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,38.0,,월덱스
089590.KS,✅ PASS,캔들신호 1종,위꼬리양봉,-,20.0,,제주항공
357120.KS,✅ PASS,캔들신호 1종,양봉스프링,-,13.0,✔,코람코라이프인프라리츠
042500.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,음봉스프링,22.0,,링네트
011170.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,38.0,,롯데케미칼
033500.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,14.0,,동성화인텍
001230.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,47.0,,동국홀딩스
328130.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,3.0,,루닛
025860.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,4.0,,남해화학
015590.KS,✅ PASS,캔들신호 2종,"작은몸통양꼬리양봉, 상승다람쥐",도지,15.0,,DKME
365330.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,음봉스프링,13.0,,에스와이스틸텍
005860.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,1.0,,한일사료
051600.KS,✅ PASS,캔들신호 1종,양봉스프링,-,13.0,,한전KPS
241560.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,30.0,,두산밥캣
415640.KS,✅ PASS,캔들신호 2종,"위꼬리양봉, 작은몸통양꼬리양봉",-,27.0,✔,KB발해인프라
037440.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,25.0,,희림
018470.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,4.0,,조일알미늄
255220.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,21.0,,SG
025980.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,23.0,,아난티
112290.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,39.0,,와이씨켐
096350.KQ,✅ PASS,캔들신호 2종,"양봉스프링, 작은몸통양꼬리양봉",-,11.0,,대창솔루션
448730.KS,✅ PASS,캔들신호 2종,"작은몸통양꼬리양봉, 상승다람쥐",-,33.0,,삼성FN리츠
001360.KS,✅ PASS,캔들신호 1종,위꼬리양봉,-,15.0,,삼성제약
