ticker,date,o,h,l,c,v,prev_close,base_vol,gap_%,oc_%,prior_dollar_M
ASTY,2026-06-09,21.03,22.1,15.9809,17.175,225863.194509,18.69,248976.85414,12.520064205457462,-18.330955777460773,4.6533774038766005
AVS,2026-06-04,7.415,7.5,7.18,7.27,26609167.623416,6.47,11918352.17638,14.605873261205568,-1.9554956169925888,77.11173858117859
AXTU,2026-06-08,16.09,16.93,14.45,15.1346,200111.807118,14.45,261336.723929,11.349480968858137,-5.937849596022369,3.77631566077405
AXTU,2026-06-09,16.92,16.92,10.0901,10.75,291957.98996,15.1346,261336.723929,11.796809958637828,-36.46572104018913,3.9552267819758433
AXTU,2026-06-11,14.59,14.59,11.84,13.7,304057.010458,12.84,261336.723929,13.629283489096574,-6.100068540095959,3.35556353524836
AXTU,2026-06-15,20.14,22.9,19.0,21.02,672258.251192,16.44,291957.98996,22.50608272506082,4.369414101290959,4.7997893549424
BATL,2026-06-01,1.79,1.81,1.56,1.64,16084952.407707,1.45,4110986.6984175,23.44827586206897,-8.379888268156432,5.960930712705375
BITU,2026-06-08,9.68,9.8603,9.59,9.62,6409986.560134,8.73,5315503.959422,10.882016036655203,-0.6198347107438068,46.40434956575406
BITX,2026-06-08,12.31,12.57,12.215,12.24,8561518.843892,11.14,8524498.932365,10.502692998204667,-0.5686433793663711,94.9629181065461
BITX,2026-06-15,13.55,13.73,13.32,13.44,8265268.052315,12.31,9942116.658969,10.07311129163282,-0.8118081180811898,122.3874560719084
BMNG,2026-06-15,15.62,16.73,15.46,15.4922,1236323.34933,13.8012,792805.47915,13.178564182824678,-0.8181818181818106,10.94166697884498
BMNU,2026-06-08,1.1,1.17,1.06,1.11,87628972.861142,1.0,130370279.303099,10.000000000000009,0.9090909090909097,130.370279303099
BMNU,2026-06-15,1.15,1.22,1.12,1.125,148293297.248044,1.01,133258331.688675,13.861386138613852,-2.173913043478253,134.59091500556173
BMNZ,2026-06-05,21.71,24.69,21.63,24.16,893312.544333,19.68,802311.288243,10.315040650406509,11.285122063565174,15.789486152622242
BNAI,2026-06-09,21.76,23.09,18.5,19.18,2563056.939615,18.27,362868.899589,19.102353585112215,-11.856617647058831,6.62961479549103
BNRG,2026-06-03,1.56,1.9103,1.41,1.82,12630379.435287,1.35,801119.7230645,15.555555555555554,16.666666666666664,1.081511626137075
