ticker,date,ratio,dollar_surge_x,avg_dollar_vol_M,dollar_vol_M,intraday_chg_%,gap_%,close_pos,range_%,price,prior7_%,up_streak,fwd_oc_net_%
SLGB,2026-06-09,167.8145601753184,146.8163665092597,0.3414385888154735,50.12877299593698,-39.25,133.46303501945525,0.09857819905213269,87.91666666666667,0.729,51.87500000000001,3,11.657142857142869
SLXN,2026-05-20,645.4764253338761,712.7457528659944,0.24380238460388204,173.7691141650186,-15.891411335132567,134.1635687732342,0.5463024650233178,47.65835846959835,5.298,4.497041420118331,1,6.320160366552114
SLXN,2026-06-15,15.046457185704107,6.4729215535157065,0.5655885281138324,3.66101017404925,-14.330218068535824,2.5559105431309925,0.3013698630136989,22.741433021806852,2.75,-44.556451612903224,0,5.468127490039849
SMTK,2026-06-04,60.09347180419174,78.89012496047798,0.14048965603808225,11.083246520498879,14.285714285714276,-2.4390243902438855,0.5997331554369582,26.767857142857128,0.32,7.095046854082998,1,-33.57925801011804
SMTK,2026-06-05,374.43094168278463,76.5735310533907,1.2393381224318818,94.90049620368862,-31.07925801011804,85.31249999999999,0.030410542321338094,33.271500843170315,0.4087,55.34017483846447,2,33.137009526885194
SMTK,2026-06-08,441.5946062680669,21.446655872215185,10.725945312897718,230.03565802991676,35.637009526885194,51.52923905064839,0.5230163537250151,106.63652510899404,0.84,189.15662650602408,3,-31.90747493163172
SMXT,2026-06-10,238.83560384265098,261.6998224082589,0.0865016306362891,22.63746137554167,6.051167964404894,18.726888536714213,0.19064841126323953,86.11790878754172,0.4767,-13.797468354430386,1,-2.1521739130434803
SNAL,2026-05-13,75.33086036541859,,,17.35558046184872,-4.215948111407862,4.318407960199016,0.0093167701863361,12.285387256772227,0.5021,-14.898305084745756,0,-25.08064516129032
SNAL,2026-05-14,604.617363217893,151.4891269043151,1.977875278448753,299.6265990578307,-22.58064516129032,177.8331009759012,0.0483870967741936,44.444444444444436,1.08,86.65744901486347,1,-4.609704641350222
SNAL,2026-05-15,99.63910673999935,1.9514985605527453,31.902319355641307,62.257330300827995,-2.109704641350222,9.72222222222222,0.1470588235294113,28.691983122362856,1.16,112.60997067448679,2,-8.932748538011701
SNBR,2026-06-05,73.9854221054726,32.84481286982068,4.436900330881184,145.72916108983793,39.485981308411226,-2.1993716081119796,0.24681141952544577,162.35105140186917,0.4776,-73.1685393258427,1,10.839089143103825
SNGX,2026-05-26,119.40266419378935,96.15978673742258,0.5004853293711526,48.12656253753873,28.539213229766975,2.3071007433991304,0.7976653696498054,38.636933099473815,0.513,26.416954164613117,4,-14.727516982662468
SNGX,2026-05-27,277.61475593109526,40.330293097922606,5.292337370653594,213.4415173315485,-12.227516982662468,92.26120857699803,0.18173374613003096,32.748656595356366,0.8657,140.53903862183944,5,16.109756097560982
SNGX,2026-05-28,24.76130868978851,0.8047203978146492,26.578580685415197,21.38832602251607,18.609756097560982,-5.278964999422441,0.9436201780415431,28.768292682926834,0.9726,138.0323054331865,6,-2.5
SNTG,2026-06-10,12.831028668288173,10.376837954195087,0.168079801881182,1.74413686749424,9.417040358744392,0.9049773755656116,0.6595744680851062,21.07623318385651,2.44,11.926605504587151,1,1.3444542642510031
SOAR,2026-06-02,34.30226624651817,2.8835683729036927,16.294355754941215,46.98588891178976,-8.571428571428562,41.41414141414141,0.5257452574525747,21.08571428571428,0.32,109.15032679738563,4,51.99999999999998
SOAR,2026-06-03,12.798941695166086,2.2200388018996544,20.954818795848777,46.52051081356047,54.49999999999998,-12.499999999999993,0.8976470588235292,60.7142857142857,0.4326,198.3448275862069,5,-10.545977011494244
SOBR,2026-06-10,10.938907350418235,9.042075486543817,0.18054085593616007,1.632464047779992,29.946666666666673,0.5361930294906171,0.7018749999999999,42.66666666666667,0.9746,-18.10084033613445,1,1.8001774345057946
SOPH,2026-06-08,10.724458197214062,9.219605097070197,0.346967361979049,3.1989020590190402,0.9560229445506657,4.6000000000000085,0.4943820224719112,8.50860420650096,5.28,3.937007874015741,3,-2.5
SPAI,2026-05-15,27.332597739655302,25.45103876168137,0.847852395298617,21.578724176929498,-9.185803757828818,8.616780045351472,0.16363636363636344,11.482254697286008,4.35,-2.684563758389269,0,-7.327586206896551
SPPL,2026-06-02,20.808609526283483,8.19593094255386,3.816090071343248,31.276410695294697,6.8493150684931505,1.6713091922005585,0.8333333333333328,11.506849315068504,3.9,39.2857142857143,1,-0.33783783783784793
SPRC,2026-06-04,31.599179702060695,2.596303306044605,39.20055882624867,101.77654047938543,-14.833948339483404,43.23467230443974,0.19659735349716434,39.040590405904055,11.54,157.87709497206706,2,10.098425196850387
SPWH,2026-06-02,15.339343175424377,13.149882185258722,0.312239661778133,4.10591476594748,1.42857142857143,1.449275362318842,0.598930481283422,10.685714285714283,1.42,10.077519379844958,2,-4.527027027027029
SPWH,2026-06-03,12.680912423588504,5.343349056998201,0.6793266235648381,3.6298792734189496,-2.027027027027029,4.2253521126760605,0.0980392156862742,17.229729729729723,1.45,12.4031007751938,3,-5.948275862068969
SSTK,2026-06-01,19.890317874747755,10.686188245657588,6.30844242670252,67.4132033086361,-8.053691275167791,0.06715916722632495,0.1854599406528184,10.856375838926171,13.7,-12.066752246469836,0,-2.3538011695906462
STAK,2026-05-12,149.7914363056418,,,30.203551843217056,86.23853211009171,-1.8018018018018032,0.932038834951456,94.4954128440367,2.03,75.0,6,18.525641025641022
STAK,2026-05-13,107.41719647689192,,,25.18029483523252,21.025641025641022,-3.940886699507382,0.8599999999999995,25.641025641025657,2.36,147.5351374029788,7,-43.439597315436245
STAK,2026-05-14,59.07744346444362,0.6602901866843631,8.782172722582015,5.798782466488,-40.939597315436245,-36.86440677966101,0.10126582278481007,53.02013422818792,0.88,-9.278350515463918,0,6.23786407766991
STAK,2026-06-02,181.71848429553953,131.4046850586607,0.477168971275255,62.70223839019,58.333333333333336,23.076923076923077,0.7512437810945274,83.74999999999999,1.9,72.7272727272727,2,85.52083333333334
STAK,2026-06-03,149.6911141274999,14.797569414539273,6.631979498056984,98.13717697829956,88.02083333333334,1.0526315789473695,0.8535353535353535,103.125,3.61,243.8095238095238,3,24.44610778443115
STAK,2026-06-04,17.16667030242776,0.8108563585890388,16.301904114954215,13.218502608719442,26.94610778443115,-7.4792243767313025,0.6206896551724139,43.41317365269462,4.24,326.13065326633165,4,15.725419664268578
SUGP,2026-05-20,28.565271021437255,35.97931101030332,0.24367008629723202,8.76708181879556,1.1337868480725584,-17.105263157894736,0.23949299533022006,16.995464852607718,4.46,1.5945330296127658,0,-31.264044943820227
SUGP,2026-05-28,12.89874282695513,2.6167077642657723,1.251486968353299,3.27477566696751,-48.08362369337979,7.692307692307695,0.034246575342465786,50.871080139372815,1.49,-63.48039215686274,0,-11.020179372197308
SUGP,2026-06-03,18.455641077407602,6.339264266762695,1.70633256722239,10.81689307060635,11.428571428571416,-2.77777777777778,0.162162162162162,70.47619047619047,1.17,-65.93886462882097,2,-48.22727272727273
SUGP,2026-06-04,20.22159660401318,4.544284963582206,2.671577952938225,12.140411520574904,-45.72727272727273,12.820512820512834,0.08390427576034004,50.742348484848485,0.7164,-75.54948805460751,0,39.72857142857144
SUGP,2026-06-05,24.698769507468942,13.401977254667557,3.0089109231161597,40.325355752923535,42.22857142857144,-2.2892238972641095,0.43533082022617975,109.89999999999999,0.9956,-62.64165103189494,1,13.214285714285719
SUNE,2026-06-08,4026.5850219213653,12165.756706861166,0.15477617593984602,1882.9693005025056,96.65551839464881,164.60176991150445,0.5089408528198074,243.14381270903004,5.88,342.1052631578947,1,-37.65482695810565
SUNE,2026-06-09,284.8946967898372,0.4280614478426389,188.43314063822598,80.66096300313461,-35.15482695810565,-6.6326530612244845,0.02678571428571431,40.80145719489982,3.56,161.76470588235296,0,-22.004643962848295
SUNE,2026-06-10,53.033314918939325,0.05948157251268443,196.48122444161592,11.687012199005002,-19.504643962848295,-9.269662921348317,0.0,34.05572755417957,2.6,101.55038759689923,0,-0.9189723320158087
SUUN,2026-05-27,12.516261295538737,27.248391938455516,0.4929387713173057,13.43178884251464,30.0,2.1059349074665055,0.8431126451208032,39.837500000000006,1.04,53.891683930156866,3,-7.9545454545454595
SUUN,2026-06-01,12.185314528150656,13.423996278522665,2.6958742891827523,36.18940642535421,66.30434782608695,6.419895893580104,1.0,70.21739130434781,1.53,115.8273381294964,1,-1.0915492957746467
SXTC,2026-06-11,11.706504706086871,13.437247157110724,0.19453713345953902,2.61404354353166,24.861878453038656,2.8409090909090935,0.585635359116022,49.999999999999986,2.26,26.966292134831438,4,5.031380753138063
TDIC,2026-05-14,43.15909317407731,0.27819083973157777,281.11228451345414,78.20286248766,-96.27733829688228,-6.767895878524946,0.0,102.04699860400186,20.0,-27.927927927927932,0,-35.403225806451616
TDIC,2026-06-08,83.12937732063969,62.61731896036513,4.576091187230956,286.5425614625567,60.371318822023056,39.464285714285715,0.2576923076923077,249.6798975672215,12.525,16.974083586271306,1,-11.420065495683241
TGHL,2026-06-11,17.34389423063429,0.46643187952192994,18.865015246172998,8.799244518482334,22.203703703703702,-2.3508137432188083,0.5488235294117648,94.44444444444444,0.6599,-26.62886368690237,2,-2.2595709265766453
THH,2026-05-22,80.30756931487062,75.13881468277559,0.040409939347103484,3.03635494394421,26.81388012618297,5.666666666666672,0.8605414273995081,38.45425867507887,0.402,29.260450160771722,2,-15.709013209013207
TIGR,2026-05-22,20.214180602893112,15.219089066916583,20.784210872492338,316.316756454037,8.863920099875166,-31.42123287671233,0.4864864864864868,18.476903870162303,4.36,-34.33734939759036,0,4.665775401069519
